,time,ghi,SW_diffuse,cld,sea,f_cone,SW_direct,dis,temp,RH,wind,SW_global,ppt,vp_a,press,LW_in,Discharge,alb,T_s,T_bulk,ice,iceV,sub,vapour,melted,delta_T_s,wastewater,Qtotal,SW,LW,Qs,Ql,Qf,Qg,meltwater,A_cone,h_cone,r_cone,dr,snow2ice,dep,j_cone,wasted,fountain_froze,Qt,Qmelt,Qfreeze,input,event,s_cone,vp_ice
0,2020-01-03 16:00:00,69.5,50.527,0.534,0.106,0.0,-25.182,-0.007,0.4,82.25,1.267,25.345,0.0,5.183,803.755,209.46,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056468686235723244,
1,2020-01-03 17:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,-0.017,82.6,1.35,0.0,0.0,5.05,804.074,204.382,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056468686235723244,6.112911778902558
2,2020-01-03 18:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.117,80.2,1.45,0.0,0.0,4.933,804.108,219.135,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056468686235723244,4.099790916114846
3,2020-01-03 19:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.55,80.683,1.183,0.0,0.0,5.133,804.492,216.77,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056468686235723244,3.7388512288464155
4,2020-01-03 20:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.417,83.6,0.583,0.0,0.0,5.25,804.428,222.427,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056468686235723244,3.510551220260886
5,2020-01-03 21:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.633,86.017,0.583,0.0,0.0,5.5,804.548,252.834,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056468686235723244,3.1695073616474674
6,2020-01-03 22:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.7,89.567,0.5,0.0,0.0,5.75,804.532,281.825,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056473500844119846,3.329884456064397
7,2020-01-03 23:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.767,91.567,0.5,0.0,0.0,5.883,804.748,289.664,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.05647995140052396,3.7765806185076727
8,2020-01-04 00:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,0.967,92.433,0.25,0.0,0.0,6.067,804.497,272.992,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.056485696375836975,4.235024107362964
9,2020-01-04 01:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,1.1,92.767,0.0,0.0,0.0,6.167,804.389,266.088,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.05649069670288686,4.1837407183453825
10,2020-01-04 02:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,1.2,93.933,0.0,0.0,0.0,6.233,804.558,261.569,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.05649069670288686,3.9089309234716803
11,2020-01-04 03:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,1.35,94.283,0.583,0.0,0.0,6.367,804.749,269.527,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.05649069670288686,3.6384739107683375
12,2020-01-04 04:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,1.4,94.283,0.333,0.0,0.0,6.367,804.28,283.286,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.05649069670288686,3.9538571255934674
13,2020-01-04 05:00:00,0.0,0.0,0.41,0.0,0.0,0.0,-0.0,1.467,95.1,0.583,0.0,0.0,6.467,804.212,281.234,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.05649824896490513,4.199414038814337
